code	text
3.144	kapaScAkravarmaRasya
3.145	viwapapizwapaviSipolapAH
3.146	vftestikan
3.147	kftiBidilatiByaH kit
3.148	izyaSiByAM takan
3.149	iRastaSantaSasunO
3.150	vIpatiByAM tanan
3.151	dFdaliByAM BaH
3.152	artigFByAM Ban
3.153	iRaH kit
3.154	asisaYjiByAM kTin
3.155	pluzikuziSuziByaH ksiH
3.156	aSernit
3.157	izeH ksuH
3.158	avitFstFtantriByaH IH
3.159	yApoH kiddve ca
3.160	lakzermuw ca
4.1	vAtapramIH
4.2	ftanyaYjivanyaYjyarpimadyatyaNgikuyukfSiByaH katnicyatujalijizWujizWajisansyaniTinulyasAsAnukaH
4.3	SraH karan
4.4	puzaH kit
4.5	kalaSca
4.6	gameriniH
4.7	ANi Rit
4.8	BuvaSca
4.9	pre sTaH
4.10	parame kit
4.11	manTaH
4.12	patasTa ca
4.13	KajerAkaH
4.14	balAkAdayaSca
4.15	pinAkAdayaSca
4.16	kazidUziByAmIkan
4.17	anihfziByAm kicca
4.18	caNkaRaH kaNkaRaSca
4.19	SFpFvfYAM dveruk cAByAsaSca
4.20	parParIkAdayaSca
4.21	IzaH kidDrasvaSca
4.22	fjeSca
4.23	sarternum ca
4.24	mfqaH kIkackaNkaRO
4.25	alIkAdayaSca
4.26	kFtFByAmIzan
4.27	SFpFByAM kicca
4.28	arjerfja ca
4.29	ambarIzaH
4.30	kFSFpFkawipawiSOwiBya Iran
4.31	vaSeH kit
4.32	kaSermuw ca
4.33	kfYa ucca
4.34	GaseH kiSca
4.35	gaBIragamBIrO
4.36	vizA vihA
4.37	paca elimac
4.38	SINo DuklakvalaYvAlanaH
4.39	mFkaRiByAmUkokaRO
4.40	valerUkaH
4.41	ulUkAdayaSca
4.42	SalimanqiByAmUkaR
4.43	niyo miH
4.44	arterUcca
4.45	BuvaH kit
4.46	aSnote raS ca
4.47	dalmiH
4.48	vIjyAjyariByo niH
4.49	sfvfziByAM kit
4.50	aNgernalopaSca
4.51	vahiSriSruyudruglAhAtvariByo nit
4.52	GfRipfSnipArzRicUrRiBUrRi
4.53	vfdfByAM vin
4.54	jFSFstFjAgfByaH kvin
4.55	divo dve dIrGaScAByAsasya
4.56	kfviGfzviCavisTavikikIdivi
4.57	pAterqatiH
4.58	Sakerftin
4.59	ameratiH
4.60	vahivasyartiByaScit
4.61	aYceH ko vA
4.62	hanteraMha ca
4.63	ramernit
4.64	sUNaH kriH
4.65	adiSadiBUSuBiByaH krin
4.66	vaNkryAdayaSca
4.67	rASadiByAM trip
4.68	adestriniSca
4.69	pateratrin
4.70	mfkaRiByAmIciH
4.71	SvayateScit
4.72	veYo qicca
4.73	fhaniByAmUzan
4.74	puraH kuzan
4.75	pFnahikaliBya uzac
4.76	pIyerUzan
4.77	masjernum ca
4.78	gaqeSca
4.79	arteraruH
4.80	kuwaH kicca
4.81	SakAdiByo'wan
4.82	kfkadikaqikawiByo'mbac
4.83	kaderRitpakziRi
4.84	kalikardyoramaH
4.85	kuRipulyoH kindac
4.86	kupervA vaSca
4.87	nO zaYjerGaTin
4.88	udyarteScit
4.89	sarterRicca
4.90	KarjipiYjAdiBya UrolacO
4.91	kuvaScaw dIrGaSca
4.92	samIRaH
4.93	sivezwerU ca
4.94	Samerban
4.95	ulbAdayaSca
4.96	sTaH sto'mbajabakO
4.97	SASapiByAM dadanO
4.98	abdAdayaSca
4.99	valimalitaniByaH kayan
4.100	vfhroH zugdukO ca
4.101	mipIByAM ruH
4.102	jatrvAdayaSca
4.103	ruSAtiByAM krun
4.104	janidAcyusfvfmadizaminamiBfYBya itvantvantnaRkninSaksyaQaqawAwacaH
4.105	anyeByo'pi dfSyante
4.106	kuserumBomedetAH
4.107	sAnasivarRasipaRasitaRqulANkuSacazAlelvalapalvalaDizRyaSalyAH
4.108	mUSakyabiByaH klaH
4.109	mACAsasiByo yaH
4.110	janeryak
4.111	aGnyAdayaSca
4.112	snAmadipadyartipFSakiByo vanip
4.113	SINkruSiruhijikzisfDfByaH kvanip
4.114	DyApyoH saMprasAraRaM ca
4.115	aderDa ca
4.116	pra IraSadostuw ca
4.117	sarvaDAtuBya in
4.118	hfpiziruhivftividiCidikIrtiByaSca
4.119	igupaDAtkit
4.120	BrameH saMprasAraRaM ca
4.121	kramitamiSatistamBAmata icca
4.122	manerucca
4.123	varRerbaliScAhiraRye
4.124	vasivapiyajirAjivrajisadihaninASivASivAriBya iY
4.125	naho BaSca
4.126	kfzervfdDiSCandasi
4.127	SraH SakunO
4.128	kfYa udIcAM kAruzu
4.129	janiGasiByAmiR
4.130	ajyatiByAM ca
4.131	pAde ca
4.132	aSipaRAyyo ruqAyalukO ca
4.133	vAterqicca
4.134	pre harateH kUpe
4.135	nO vyo yalopaH pUrvasya ca dIrGaH
4.136	samAne KyaH sa codAttaH
4.137	ANi SrihaniByAM hrasvaSca
4.138	aca iH
4.139	KanikazyajyasivasivanisaniDvanigranTicariByaSca
4.140	vfteSCandasi
4.141	BujeH kicca
4.142	kFgFSFpFkuwiBidiCidiByaSca
4.143	kuqikampyornalopaSca
4.144	sarvaDAtuByo manin
4.145	bfMhernocca
4.146	aSiSakiByAM Candasi
4.147	hfBfDfsfstfSFBya imanic
4.148	janimfNByAmimanin
4.149	veYaH sarvatra
4.150	nAman sIman vyoman roman loman pApman DyAman
4.151	miTune maniH
4.152	sAtiByAM maninmaniRO
4.153	hanimaSiByAM sikan
4.154	koraran
4.155	gira uqac
4.156	indeH kaminnalopaSca
4.157	kAyaterqimiH
4.158	sarvaDAtuByaH zwran
4.159	BrasjigaminamihaniviSyaSAM vfdDiSca
4.160	diverd yucca
4.161	uziKaniByAM kit
4.162	sivimucyozwerU ca
4.163	amicimidiSasiByaH ktraH
4.164	puvo hrasvaSca
4.165	styAyaterqaw
4.166	guDfvIpacivaciyamisadikzadiByastraH
4.167	huyAmASruBasiByastran
4.168	gamerA ca
4.169	dAdiByacCandasi
4.170	BUvAdigFByo Ritran
4.171	carervftte
4.172	aSitrAdiBya itrotrO
4.173	amerdvizati cit
4.174	AH samiRnikaSiByAm
4.175	citteH kaRaH kaSca
4.176	sUceH sman
4.177	pAterqumsun
4.178	ruciBujiByAM kizyan
4.179	vasestiH
4.180	sAvaseH
4.181	vO taseH
4.182	padipraTiByAM nit
4.183	titutrezvagrahAdInAmitIw dfRAterhrasvaSca
4.184	kFtFkfpiByaH kIwan
4.185	rucivacikucikuwiByaH kitac
4.186	kuwikuziByAM kmalan
4.187	kuzerlaSca
4.188	sarvaDAtuByo'sun
4.189	raperata ecca
4.190	aSerdevane yuw ca
4.191	ubjerbale balopaSca
4.192	SveH samprasAraRaM ca
4.193	SrayateH svANge SiraH kicca
4.194	arterucca
4.195	vyADO Suw
4.196	udake nuw ca
4.197	iRa Agasi
4.198	ricerDane Gicca
4.199	cAyateranne hrasvaSca
4.200	vfNSINByAM rUpasvANgayoH puw ca
4.201	srurIByAM tuw ca
4.202	pAterbale juw ca
4.203	udake Tuw ca
4.204	anne ca
4.205	adernum DO ca
4.206	skandeSca svANge
4.207	ApaH karmAKyAyAm
4.208	rUpe juw ca
4.209	udake numBO ca
4.210	naherdivi BaSca
4.211	iRa Aga aparADe ca
4.212	amerhukca
4.213	rameSca
4.214	deSe ha ca
4.215	aYcyaYjiyujiBfjiByaH kuYca
4.216	BUraYjiByAM kit
4.217	vaserRit
4.218	canderAdeSca CaH
4.219	pacivaciByAM suw ca
4.220	vahihADAYByaSCandasi
4.221	iRa AsiH
4.222	miTune'siH pUrvavacca sarvam
4.223	naYi hana eha ca
4.224	viDAYo veDa ca
4.225	nuvo Duw ca
4.226	gatikArakopapadayoH pUrvapadaprakftisvaratvaM ca
4.227	candre mo qit
4.228	vayasi DAYaH
4.229	payasi ca
4.230	purasi ca
4.231	purUravAH
4.232	cakzerbahulaM Sicca
4.233	uzaH kit
4.234	damerunasiH
4.235	aNgaterasiriruqAgamaSca
4.236	sarterappUrvAdasiH
4.237	vidiBujiByAM viSve
4.238	vaSeH kanasiH
5.1	adi Buvo qutac
5.2	guDerUmaH
5.3	maserUran
5.4	sTaH kicca
5.5	pAteratiH
5.6	vAternit
5.7	arteSca
5.8	tfheH kno halopaSca
5.9	vuYluWitanitAqiBya ulac taRqaSca
5.10	daMsezwawanO na A ca
5.11	daMSeSca
5.12	udi cerqEsiH
5.13	nO dIrGaSca
5.14	sO rameH kto dame pUrvapadasya ca dIrGaH
5.15	pUYo yaR Ruk hrasvaSca
5.16	sraMseH SiH kuw kiSca
5.17	arteH kyurucca
5.18	hiMserIrannIracO
5.19	udi dfRAterajalO pUrvapadAntyalopaSca
5.20	qit Kanermuw sa codAttaH
5.21	ameH san
5.22	muheH Ko mUrca
5.23	naherhalopaSca
5.24	SINo hrasvaSca
5.25	mANa UKo may ca
5.26	kaligaliByAM Pagasyocca
5.27	spfSeH SvaRSunO pf ca
5.28	Smani Srayaterqun
5.29	aSrvAdayaSca
5.30	janezwan lopaSca
5.31	ac tasya jaNGa ca
5.32	hanteH SarIrAvayave dve ca
5.33	kliSeran lo lopaSca
5.34	PaleritajAdeSca paH
5.35	kfYAdiByaH saMjYAyAm vun
5.36	cIkayaterAdyantaviparyayaSca
5.37	pacimacyoriccopaDAyAH
5.38	janerarazWa ca
5.39	vacimaniByAM cicca
5.40	Urji dfRAteralacO pUrvapadAntalopaSca
5.41	kfdarAdayaSca
5.42	hanteryunnAdyantayorGatvatatve
5.43	kramigamikzamiByastun vfdDiSca
5.44	haryateH kanyan hira ca
5.45	kfYaH pAsaH
5.46	janestu raSca
5.47	UrRoterqaH
5.48	daDAteryat nuw ca
5.49	jIryateH krin raSca vaH
5.50	mavyateryalopo maScApatuw cAlaH
5.51	fjeH kIkan
5.52	tanoterqauH sanvacca
5.53	arBakapfTukapAkA vayasi
5.54	avadyAvamADamArvarePAH
5.55	lIrINorhrasvaH puw ca tarO SlezaRakutsanayoH
5.56	kliSerIccopaDAyAH kan lopaSca lo nAm ca
5.57	aSnoterASukarmaRi varaw ca
5.58	cateruran
5.59	prAtateraran
5.60	amestuw ca
5.61	dahergo lopo daSca naH
5.62	siceH saMjYAyAM hanumO kaSca
5.63	vyANi GrAteSca jAtO
5.64	hanterac Gura ca
5.65	kzamerupaDAlopaSca
5.66	taraterqriH
5.67	graheraniH
5.68	praTeramac
5.69	careSca
5.70	maNgeralac
