code	dhatu	artha
01.0063	ati~	banDane
01.0064	adi~	banDane
01.0065	idi~	paramESvarye
01.0066	bidi~	avayave
01.0067	Bidi~	avayave
01.0068	gaqi~	vadanEkadeSe
01.0069	Ridi~	kutsAyAm
01.0070	wunadi~	samfdDO
01.0071	cadi~	AhlAde dIptO ca
01.0072	tradi~	cezwAyAm
01.0073	kadi~	AhvAne rodane ca
01.0074	kradi~	AhvAne rodane ca
01.0075	kladi~	AhvAne rodane ca
01.0076	klidi~	paridevane
01.0077	SunDa~	SudDO
01.0078	SIkf~\	secane
01.0079	sIkf~\	secane
01.0080	lokf~\	darSane
01.0081	Slokf~\	saNGAte
01.0082	Srekf~\	gatO
01.0083	drekf~\	SabdotsAhayoH
01.0084	Drekf~\	SabdotsAhayoH
01.0085	rekf~\	SaNkAyAm
01.0086	sekf~\	gatO
01.0087	srekf~\	gatO
01.0088	sraki~\	gatO
01.0089	Sraki~\	gatO
01.0090	Slaki~\	gatO
01.0091	Saki~\	SaNkAyAm
01.0092	aki~\	lakzaRe
01.0093	vaki~\	kOwilye
01.0094	maki~\	maRqane
01.0095	kaka~\	lOlye
01.0096	kuka~\	AdAne
01.0097	vfka~\	AdAne
01.0098	caka~\	tfptO pratIGAte ca
01.0099	kaki~\	gatO
01.0100	vaki~\	gatO
01.0101	Svaki~\	gatO
01.0102	traki~\	gatO
01.0103	QOkf~\	gatO
01.0104	trOkf~\	gatO
01.0105	zvazka~\	gatO
01.0106	vaska~\	gatO
01.0107	maska~\	gatO
01.0108	wikf~\	gatO
01.0109	wIkf~\	gatO
01.0110	tikf~\	gatO
01.0111	tIkf~\	gatO
01.0112	raGi~\	gatO
01.0113	laGi~\	gatO BojananivfttO ca
01.0114	zvakka~\	gatO
01.0115	aGi~\	gatyAkzepe
01.0116	vaGi~\	gatyAkzepe
01.0117	maGi~\	gatyAkzepe gatyAramBe kEtave ca
01.0118	rAGf~\	sAmarTye
01.0119	lAGf~\	sAmarTye
01.0120	drAGf~\	sAmarTye AyAme ca
01.0121	DrAGf~\	sAmarTye
01.0122	SlAGf~\	katTane
01.0123	Pakka~	nIcErgatO
01.0124	taka~	hasane
01.0125	taki~	kfcCrajIvane
01.0126	bukka~	BazaRe
01.0127	Suka~	gatO
01.0128	kaKa~	hasane
01.0129	oKf~	SozaRAlamarTayoH
01.0130	rAKf~	SozaRAlamarTayoH
01.0131	lAKf~	SozaRAlamarTayoH
01.0132	drAKf~	SozaRAlamarTayoH
01.0133	DrAKf~	SozaRAlamarTayoH
01.0134	SAKf~	vyAptO
01.0135	SlAKf~	vyAptO
01.0136	uKa~	gatO
01.0137	uKi~	gatO
01.0138	vaKa~	gatO
01.0139	vaKi~	gatO
01.0140	maKa~	gatO
01.0141	maKi~	gatO
01.0142	RaKa~	gatO
01.0143	RaKi~	gatO
01.0144	raKa~	gatO
01.0145	raKi~	gatO
01.0146	laKa~	gatO
01.0147	laKi~	gatO
01.0148	iKa~	gatO
01.0149	iKi~	gatO
01.0150	jaBa~	gAtravinAme
01.0151	IKi~	gatO
01.0152	valga~	gatO
01.0153	ragi~	gatO
01.0154	lagi~	gatO
01.0155	agi~	gatO
01.0156	vagi~	gatO
01.0157	magi~	gatO
01.0158	tagi~	gatO
01.0159	tvagi~	gatO
01.0160	Svelf~	calane
01.0161	Sragi~	gatO
01.0162	Slagi~	gatO
01.0163	igi~	gatO
01.0164	rigi~	gatO
01.0165	ligi~	gatO
01.0166	KarKa~	hasane
01.0167	kakKa	hasane
01.0168	riKa~	gatO
01.0169	Garba~	gatO
01.0170	narba~	gatO
01.0171	Barba~	gatO
01.0172	traKa~	gatO
01.0173	triKi~	gatO
01.0174	SiKi~	gatO
01.0175	yugi~	varjane
01.0176	jugi~	varjane
01.0177	bugi~	varjane
01.0178	vugi~	varjane
01.0179	GaGa~	hasane
01.0180	GagGa~	hasane
01.0181	varba~	gatO
01.0182	baBra~	gatO
01.0183	maGi~	maRqane
01.0184	SiGi~	AGrARe
01.0185	maja~	Sabde
01.0186	varca~\	dIptO
01.0187	zaca~\	secane sevane ca
01.0188	locf~\	darSane
01.0189	Saca~\	vyaktAyAM vAci
01.0190	Svaca~\	gatO
01.0191	Svaci~\	gatO
01.0192	kaca~\	banDane
01.0193	kaci~\	dIptibanDanayoH
01.0194	kAci~\	dIptibanDanayoH
01.0195	maca~\	kalkane kaTane ca
01.0196	muci~\	kalkane kaTane ca
01.0197	maci~\	DAraRocCrAyapUjanezu
01.0198	paci~\	vyaktIkaraRe
01.0199	zwuca~\	prasAde
01.0200	fja~\	gatisTAnArjanopArjanezu
01.0201	fji~\	Barjane
01.0202	BfjI~\	Barjane
01.0203	ejf~\	dIptO
01.0204	Brejf~\	dIptO
01.0205	BrAjf~\	dIptO
01.0206	kAqf~\	anAdare
01.0207	Ija~\	gatikutsanayoH
01.0208	pebf~\	sevane
01.0209	plebf~\	sevane
01.0210	Suca~	Soke
01.0211	kuca~	Sabde tAre
01.0212	kunca~	gatikOwilyAlpIBAvayoH
01.0213	krunca~	gatikOwilyAlpIBAvayoH
01.0214	lunca~	apanayane
01.0215	ancu~	gatipUjanayoH
01.0216	vancu~	gatO
01.0217	cancu~	gatO
01.0218	tancu~	gatO
01.0219	tvancu~	gatO
01.0220	mruncu~	gatO
01.0221	mluncu~	gatO
01.0222	mrucu~	gatO
01.0223	mlucu~	gatO
01.0224	grucu~	steyakaraRe
01.0225	glucu~	steyakaraRe
01.0226	kuju~	steyakaraRe
01.0227	Kuju~	steyakaraRe
01.0228	gluncu~	gatO
01.0229	zasja~	gatO
01.0230	guja~	avyakte Sabde
01.0231	guji~	avyakte Sabde
01.0232	arca~	pUjAyAm
01.0233	mleCa~	avyakte Sabde
01.0234	laCa~	lakzaRe
01.0235	lACi~	lakzaRe
01.0236	vACi~	icCAyAm
01.0237	ACi~	AyAme
01.0238	hrICa~	lajjAyAm
01.0239	hurCA~	kOwilye
01.0240	murCA~	mohasamucCrAyayoH
01.0241	sPurCA~	vistftO
01.0242	yuCa~	pramAde
01.0243	uCi~	uYCe
01.0244	uCI~	vivAse
01.0245	Draja~	gatO
01.0246	Draji~	gatO
01.0247	awi~\	gatO
01.0248	rebf~	plavagatO
01.0249	Dfja~	gatO
01.0250	Dfji~	gatO
01.0251	Dvaja~	gatO
01.0252	Dvaji~	gatO
01.0253	zalf~	gatO
01.0254	kUja~	avyakte Sabde
01.0255	Bfzu~	saNGarze
01.0256	arja~	arjane
01.0257	zarja~	arjane
01.0258	garja~	Sabde
01.0259	tarja~	Bartsane
01.0260	karja~	vyaTane
01.0261	Karja~	vyaTane pUjane mArjane ca
01.0262	aja~	gatikzepaRayoH
01.0263	teja~	pAlane
01.0264	Kaja~	manTe
01.0265	kava~	Sabde
01.0266	Kaji~	gativEkalye
01.0267	ejf~	kampane
01.0268	wuo~sPUrjA~	vajranirGoze
01.0269	kzi\	kzaye
01.0270	kzIja~	avyakte Sabde
01.0271	laja~	Barjane
01.0272	laji~	Barjane
01.0273	lAja~	Barjane Bartsane ca
01.0274	lAji~	Barjane Bartsane ca
01.0275	jaja~	yudDe
01.0276	jaji~	yudDe
01.0277	tuja~	hiMsAyAm
01.0278	tuji~	pAlane
01.0279	gaja~	Sabde madane ca
01.0280	gaji~	Sabde
01.0281	gfja~	Sabde
01.0282	gfji~	garjane
01.0283	muja~	Sabde
01.0284	muji~	Sabde
01.0285	vaja~	gatO
01.0286	vraja~	gatO
01.0287	awwa~\	atikramahiMsayoH
01.0288	vezwa~\	vezwane
01.0289	cezwa~\	cezwAyAm
01.0290	gozwa~\	saNGAte
01.0291	lozwa~\	saNGAte
01.0292	Gawwa~\	calane
01.0293	sPuwa~\	vikasane
01.0294	aWi~\	gatO
01.0295	vaWi~\	ekacaryAyAm
01.0296	maWi~\	Soke
01.0297	kaWi~\	Soke
01.0298	muWi~\	pAlane
01.0299	heWa~\	vibADAyAm
01.0300	eWa~\	vibADAyAm
01.0301	hiqi~\	gatyanAdarayoH
01.0302	huqi~\	saNGAte
01.0303	kuqi~\	dAhe
01.0304	vaqi~\	viBAjane
01.0305	maqi~\	viBAjane
01.0306	Baqi~\	pariBAzaRe
01.0307	piqi~\	saNGAte
01.0308	muqi~\	mArjane
01.0309	tuqi~\	toqane
01.0310	huqi~\	varaRe haraRe ca
01.0311	sPuqi~\	vikasane
01.0312	caqi~\	kope
01.0313	Saqi~\	rujAyAM saNGAte ca
01.0314	taqi~\	tAqane
01.0315	paqi~\	gatO
01.0316	kaqi~\	made
01.0317	Kaqi~\	manTe
01.0318	heqf~\	anAdare
01.0319	hoqf~\	anAdare
01.0320	bAqf~\	AplAvye
01.0321	vAqf~\	AplAvye
01.0322	drAqf~\	viSaraRe
01.0323	DrAqf~\	viSaraRe
01.0324	SAqf~\	SlAGAyAm
01.0325	SOwf~	garve
01.0326	yOwf~	banDe
01.0327	meqf~	unmAde
01.0328	mreqf~	unmAde
01.0329	mlewf~	unmAde
01.0330	cawe~	varzAvaraRayoH
01.0331	kawe~	varzAvaraRayoH
01.0332	awa~	gatO
01.0333	pawa~	gatO
01.0334	rawa~	pariBAzaRe
01.0335	lawa~	bAlye
01.0336	Sawa~	rujAviSaraRagatyavasAdanezu
01.0337	vawa~	vezwane
01.0338	kiwa~	trAse
01.0339	Kiwa~	trAse
01.0340	Siwa~	anAdare
01.0341	ziwa~	anAdare
01.0342	jawa~	saNGAte
01.0343	Jawa~	saNGAte
01.0344	Bawa~	BftO
01.0345	tawa~	ucCrAye
01.0346	Kawa~	kANkzAyAm
01.0347	Rawa~	nfttO
01.0348	piwa~	SabdasaNGAtayoH
01.0349	hawa~	dIptO
01.0350	zawa~	avayave
01.0351	luwa~	viloqane
01.0352	luqa~	viloqane
01.0353	ciwa~	paraprEzye
01.0354	viwa~	Sabde
01.0355	biwa~	AkroSe
01.0356	hiwa~	AkroSe
01.0357	iwa~	gatO
01.0358	kiwa~	gatO
01.0359	kawI~	gatO
01.0360	cuwi~	alpIBAve
01.0361	maqi~	BUzAyAm
01.0362	kuqi~	vEkalye
01.0363	kuWi~	vEkalye
01.0364	muqa~	mardane
01.0365	pruqa~	mardane vimardane
01.0366	muwa~	mardane
01.0367	puqa~	mardane
01.0368	cuqi~	alpIBAve
01.0369	muqi~	KaRqane
01.0370	puqi~	KaRqane
01.0371	ruwi~	steye
01.0372	luwi~	steye
01.0373	ruWi~	steye
01.0374	luWi~	steye
01.0375	ruqi~	steye
01.0376	luqi~	steye
01.0377	vawi~	viBAjane
01.0378	sPawi~	viSaraRe
01.0379	sPuwi~r	viSaraRe
01.0380	sPuwi~	viSaraRe
01.0381	paWa~	vyaktAyAM vAci
01.0382	vaWa~	sTOlye
01.0383	hOqf~	gatO
01.0384	maWa~	madanivAsayoH
01.0385	kaWa~	kfcCrajIvane
01.0386	raWa~	pariBAzaRe
01.0387	rawa~	pariBAzaRe
01.0388	haWa~	plutiSaWatvayoH balAtkAre ca
01.0389	ruWa~	upaGAte
01.0390	luWa~	upaGAte
01.0391	UWa~	upaGAte
01.0392	uWa~	upaGAte
01.0393	piWa~	hiMsAsaNkleSanayoH
01.0394	SaWa~	kEtave hiMsAsaNkleSanayoH dyUte sparDAyAM ca
01.0395	SuWa~	pratiGAte gatipratiGAte ca
01.0396	SUWa~	gatipratiGAte
01.0397	kuWi~	pratiGAte
01.0398	luWi~	Alasye pratiGAte ca
01.0399	SuWi~	SozaRe
01.0400	ruWi~	gatO
01.0401	luWi~	gatO
01.0402	cuqqa~	BAvakaraRe
01.0403	aqqa~	aBiyoge
01.0404	kaqqa~	kArkaSye
01.0405	krIqf~	vihAre
01.0406	tuqf~	toqane
01.0407	tUqf~	toqane
01.0408	huqf~	gatO
01.0409	hUqf~	gatO
01.0410	hoqf~	gatO
01.0411	rOqf~	anAdare
01.0412	roqf~	unmAde
01.0413	loqf~	unmAde
01.0414	aqa~	udyame
01.0415	laqa~	vilAse
01.0416	lala~	vilAse
01.0417	kaqa~	made
01.0418	kaqi~	made
01.0419	gaqi~	vadanEkadeSe
01.0420	ti\pf~\	kzaraRe
01.0421	tepf~\	kzaraRe kampane ca
01.0422	zwipf~\	kzaraRe
01.0423	zwepf~\	kzaraRe
01.0424	glepf~\	dEnye
01.0425	wuvepf~\	kampane
01.0426	kepf~\	kampane gatO ca
01.0427	gepf~\	kampane gatO ca
01.0428	glepf~\	kampane gatO ca
01.0429	mepf~\	gatO
01.0430	repf~\	gatO
01.0431	lepf~\	gatO
01.0432	hepf~\	gatO
01.0433	Depf~\	gatO
01.0434	trapU~\z	lajjAyAm
01.0435	kapi~\	calane
01.0436	rabi~\	Sabde
01.0437	labi~\	Sabde
01.0438	abi~\	Sabde
01.0439	labi~\	avasraMsane Sabde ca
01.0440	kabf~\	varRe
01.0441	klIbf~\	aDArzwye
01.0442	kzIbf~\	made
01.0443	kzIvf~\	made
01.0444	SIBf~\	katTane
01.0445	lOqf~	unmAde
01.0446	cIBf~\	katTane
01.0447	reBf~\	Sabde
01.0448	aBi~\	Sabde
01.0449	raBi~\	Sabde
01.0450	ziDu~	gatyAm
01.0451	zwaBi~\	pratibanDe
01.0452	skaBi~\	pratibanDe
01.0453	jaBI~\	gAtravinAme
01.0454	jfBi~\	gAtravinAme
01.0455	SalBa~\	katTane
01.0456	valBa~\	Bojane
01.0457	galBa~\	DArzwye
01.0458	SranBu~\	pramAde
01.0459	sranBu~\	pramAde
01.0460	zwuBu~\	stamBe
01.0461	gupU~	rakzaRe
01.0462	DUpa~	santApe
01.0463	japa~	vyaktAyAM vAci mAnase ca
01.0464	jalpa~	vyaktAyAM vAci
01.0465	capa~	sAntvane
01.0466	zapa~	samavAye
01.0467	rapa~	vyaktAyAM vAci
01.0468	lapa~	vyaktAyAM vAci
01.0469	cupa~	mandAyAM gatO
01.0470	tupa~	hiMsAyAm
01.0471	tunpa~	hiMsAyAm
01.0472	trupa~	hiMsAyAm
01.0473	trunpa~	hiMsAyAm
01.0474	tuPa~	hiMsAyAm
01.0475	tunPa~	hiMsAyAm
01.0476	truPa~	hiMsAyAm
01.0477	trunPa~	hiMsAyAm
01.0478	parpa~	gatO
01.0479	raPa~	gatO
01.0480	raPi~	gatO
01.0481	arba~	gatO
01.0482	parba~	gatO
01.0483	larba~	gatO
01.0484	barba~	gatO
01.0485	marba~	gatO
01.0486	karba~	gatO
01.0487	Karba~	gatO
01.0488	garba~	gatO
01.0489	Sarba~	gatO
01.0490	zarba~	gatO
01.0491	carba~	gatO ardane ca
01.0492	kubi~	CAdane AcCAdane ca
01.0493	lubi~	ardane
01.0494	tubi~	ardane
01.0495	cubi~	vaktrasaMyoge
01.0496	zfBu~	hiMsAyAm
01.0497	zfnBu~	hiMsAyAm
01.0498	ziBu~	hiMsAyAm
01.0499	zinBu~	hiMsAyAm
01.0500	SuBa~	BAzaRe BAsane hiMsAyAM ca
01.0501	SunBa~	BAzaRe BAsane hiMsAyAM dIptO ca
01.0502	GiRi~\	grahaRe
01.0503	GuRi~\	grahaRe
01.0504	GfRi~\	grahaRe
01.0505	GuRa~\	BramaRe
01.0506	GurRa~\	BramaRe
01.0507	paRa~\	vyavahAre stutO ca
01.0508	pana~\	vyavahAre stutO ca
01.0509	BAma~\	kroDe
01.0510	kzamU~\z	sahane
01.0511	kamu~\	kAntO
01.0512	aRa~	Sabde
01.0513	raRa~	Sabde
01.0514	vaRa~	Sabde
01.0515	BaRa~	Sabde
01.0516	maRa~	Sabde
01.0517	kaRa~	Sabde
01.0518	kvaRa~	Sabde
01.0519	vraRa~	Sabde
01.0520	BraRa~	Sabde
01.0521	DvaRa~	Sabde
01.0522	DaRa~	Sabde
01.0523	oRf~	apanayane
01.0524	SoRf~	varRagatyoH
01.0525	SroRf~	saNGAte
01.0526	SloRf~	saNGAte
01.0527	pERf~	gatipreraRaSlezaRezu
01.0528	prERf~	gatipreraRaSlezaRezu
01.0529	DraRa~	Sabde
01.0530	baRa~	Sabde
01.0531	kanI~	dIptikAntigatizu
01.0532	zwana~	Sabde
01.0533	vana~	Sabde
01.0534	vana~	samBaktO
01.0535	zaRa~	samBaktO
01.0536	ama~	gatO Sabde samBaktO ca
01.0537	drama~	gatO
01.0538	hamma~	gatO
01.0539	mImf~	gatO Sabde ca
01.0540	camu~	adane
01.0541	Camu~	adane
01.0542	jamu~	adane
01.0543	Jamu~	adane
01.0544	jimu~	adane
01.0545	kramu~	pAdavikzepe
01.0546	aya~\	gatO
01.0547	vaya~\	gatO
01.0548	paya~\	gatO
01.0549	maya~\	gatO
01.0550	caya~\	gatO
01.0551	taya~\	gatO
01.0552	Raya~\	gatO rakzaRe ca
01.0553	daya~\	dAnagatirakzaRahiMsA'dAnezu
01.0554	raya~\	gatO
01.0555	yaya~\	gatO
01.0556	UyI~\	tantusantAne
01.0557	pUyI~\	viSaraRe durganDe ca
01.0558	knUyI~\	Sabde undane ca
01.0559	kzmAyI~\	viDUnane
01.0560	sPAyI~\	vfdDO
01.0561	o~pyAyI~\	vfdDO
01.0562	tAyf~\	santAnapAlanayoH
01.0563	Sala~\	calanasaMvaraRayoH
01.0564	vala~\	saMvaraRe saYcaraRe ca
01.0565	valla~\	saMvaraRe saYcaraRe ca
01.0566	mala~\	DAraRe
01.0567	malla~\	DAraRe
01.0568	Bala~\	pariBAzaRahiMsAdAnezu
01.0569	Balla~\	pariBAzaRahiMsAdAnezu
01.0570	kala~\	SabdasaNKyAnayoH
01.0571	kalla~\	avyakte Sabde aSabde ca
01.0572	tevf~\	devane
01.0573	devf~\	devane
01.0574	zevf~\	sevane
01.0575	gevf~\	sevane
01.0576	glevf~\	sevane
01.0577	pevf~\	sevane
01.0578	mevf~\	sevane
01.0579	mlevf~\	sevane
01.0580	Sevf~\	sevane
01.0581	Kevf~\	sevane
01.0582	plevf~\	sevane
01.0583	kevf~\	sevane
01.0584	revf~\	plavagatO
01.0585	mavya~	banDane
01.0586	sUrkzya~	IrzyAyAm
01.0587	Irkzya~	IrzyAyAm
01.0588	Irzya~	IrzyAyAm
01.0589	haya~	gatO
01.0590	Sucya~	aBizave
01.0591	cucya~	aBizave
01.0592	harya~	gatikAntyoH
01.0593	ala~	BUzaRaparyAptivAraRezu
01.0594	YiPalA~	viSaraRe
01.0595	mIla~	nimezaRe
01.0596	SmIla~	nimezaRe
01.0597	smIla~	nimezaRe
01.0598	kzmIla~	nimezaRe
01.0599	pIla~	pratizwamBe
01.0600	RIla~	varRe
01.0601	SIla~	samADO
01.0602	kIla~	banDane
01.0603	kUla~	AvaraRe
01.0604	SUla~	rujAyAM saNGAte saNkoze ca
01.0605	tUla~	nizkarze
01.0606	pUla~	saNGAte
01.0607	mUla~	pratizWAyAm
01.0608	Pala~	nizpattO
01.0609	culla~	BAvakaraRe
01.0610	Pulla~	vikasane
01.0611	cilla~	SETilye BAvakaraRe ca
01.0612	tila~	gatO
01.0613	tilla~	gatO
01.0614	velf~	calane
01.0615	celf~	calane
01.0616	kelf~	calane
01.0617	Kelf~	calane
01.0618	kzvelf~	calane
01.0619	vella~	calane
01.0620	cella~	calane
01.0621	pelf~	gatO
01.0622	Pelf~	gatO
01.0623	Self~	gatO
01.0624	zelf~	gatO
01.0625	sKala~	saYcalane
01.0626	Kala~	saYcaye calane ca
01.0627	gala~	adane sravaRe ca
01.0628	zala~	gatO
01.0629	dala~	viSaraRe vidAraRe ca
01.0630	Svala~	ASugamane
01.0631	Svalla~	ASugamane
01.0632	Kolf~	gatipratiGAte
01.0633	Korf~	gatipratiGAte
01.0634	Dorf~	gaticAturye
01.0635	tsara~	CadmagatO
01.0636	kmara~	hUrCane
01.0637	aBra~	gatO
01.0638	vaBra~	gatO
01.0639	maBra~	gatO
01.0640	cara~	gatO BakzaRe ca
01.0641	zWivu~	nirasane
01.0642	ji\	jaye
01.0643	jIva~	prARaDAraRe
01.0644	pIva~	sTOlye
01.0645	mIva~	sTOlye
01.0646	tIva~	sTOlye
01.0647	RIva~	sTOlye
01.0648	kzivu~	nirasane
01.0649	kzevu~	nirasane
01.0650	urvI~	hiMsAyAm
01.0651	turvI~	hiMsAyAm
01.0652	TurvI~	hiMsAyAm
01.0653	durvI~	hiMsAyAm
01.0654	DurvI~	hiMsAyAm
01.0655	gurvI~	udyamane
01.0656	murvI~	banDane
01.0657	purva~	pUraRe
01.0658	parva~	pUraRe
01.0659	marva~	pUraRe
01.0660	carva~	adane
01.0661	Barva~	hiMsAyAm
01.0662	parza~\	snehane
01.0663	bahi~\	vfdDO
01.0664	karva~	darpe
01.0665	Karva~	darpe
01.0666	garva~	darpe
01.0667	arva~	hiMsAyAm
01.0668	Sarva~	hiMsAyAm
01.0669	zarva~	hiMsAyAm
01.0670	ivi~	vyAptO
01.0671	pivi~	sevane secane ca
01.0672	mivi~	sevane secane saMsrane ca
01.0673	Rivi~	sevane secane saMsrane ca
01.0674	zivi~	sevane secane ca
01.0675	hivi~	prIRane
01.0676	divi~	prIRane
01.0677	Divi~	prIRane
01.0678	jivi~	prIRane
01.0679	rivi~	gatO
01.0680	ravi~	gatO
01.0681	Davi~	gatO
01.0682	kfvi~	gatO hiMsAkaraRayoSca
01.0683	mava~	banDane
01.0684	ava~	rakzaRagatikAntiprItitfptyavagamapraveSaSravaRasvAmyarTayAcanakriyecCAdIptyavAptyAliNganahiMsAdAnaBAgavfdDizu
01.0685	DAvu~^	gatiSudDyoH
01.0686	Dukza~\	sandIpanakleSanajIvanezu
01.0687	Dikza~\	sandIpanakleSanajIvanezu
01.0688	vfkza~\	varaRe
01.0689	Sikza~\	vidyopAdAne
01.0690	Bikza~\	BikzAyAmalABe lABe ca
01.0691	kleSa~\	avyaktAyAM vAci
01.0692	dakza~\	vfdDO SIGrArTe ca
01.0693	dIkza~\	mORqyejyopanayananiyamavratAdeSezu
01.0694	Ikza~\	darSane
01.0695	Iza~\	gatihiMsAdarSanezu
01.0696	BAza~\	vyaktAyAM vAci
01.0697	varza~\	snehane
01.0698	gezf~\	anvicCAyAm
01.0699	glezf~\	anvicCAyAm
01.0700	pezf~\	prayatne
01.0701	ezf~\	prayatne
01.0702	yezf~\	prayatne
01.0703	jezf~\	gatO
01.0704	Rezf~\	gatO
01.0705	ezf~\	gatO
01.0706	prezf~\	gatO
01.0707	rezf~\	avyakte Sabde
01.0708	hezf~\	avyakte Sabde
01.0709	hrezf~\	avyakte Sabde
01.0710	kAsf~\	SabdakutsAyAm
01.0711	BAsf~\	dIptO
01.0712	RAsf~\	Sabde
01.0713	rAsf~\	Sabde
01.0714	Rasa~\	kOwilye
01.0715	Byasa~\	Baye
01.0716	Sasi~\	icCAyAm
01.0717	grasu~\	adane
01.0718	glasu~\	adane
01.0719	Iha~\	cezwAyAm
01.0720	vahi~\	vfdDO
01.0721	mahi~\	vfdDO
01.0722	ahi~\	gatO
01.0723	garha~\	kutsAyAm
01.0724	galha~\	kutsAyAm
01.0725	barha~\	prADAnye
01.0726	balha~\	prADAnye
01.0727	varha~\	pariBAzaRahiMsAcCAdanezu
01.0728	valha~\	pariBAzaRahiMsAcCAdanezu
01.0729	pliha~\	gatO
01.0730	vehf~\	prayatne
01.0731	jehf~\	prayatne gatO ca
01.0732	bAhf~\	prayatne
01.0733	drAhf~\	nidrAkzaye nikzepe ca
01.0734	kASf~\	dIptO
01.0735	Uha~\	vitarke
01.0736	gAhU~\	viloqane
01.0737	gfhU~\	grahaRe
01.0738	glaha~\	grahaRe apAdAne ca
01.0739	Gaza~\	kAntikaraRe
01.0740	Guzi~\	kAntikaraRe
01.0741	Guzi~r	aviSabdane
01.0742	akzU~	vyAptO
01.0743	takzU~	tanUkaraRe
01.0744	tvakzU~	tanUkaraRe
01.0745	ukza~	secane
01.0746	rakza~	pAlane
01.0747	Rikza~	cumbane
01.0748	trakza~	gatO
01.0749	zwrakza~	gatO
01.0750	tfkza~	gatO
01.0751	zwfkza~	gatO
01.0752	Rakza~	gatO
01.0753	vakza~	roze saNGAte ca
01.0754	mfkza~	saNGAte
01.0755	mrakza~	saNGAte
01.0756	takza~	tvacane
01.0757	pakza~	parigrahe
01.0758	sUrkza~	Adare
01.0759	zalf~	gatO
01.0760	kAkzi~	kANkzAyAm
01.0761	vAkzi~	kANkzAyAm
01.0762	mAkzi~	kANkzAyAm
01.0763	drAkzi~	kANkzAyAm GoravASite ca
01.0764	DrAkzi~	kANkzAyAm GoravASite ca
01.0765	DvAkzi~	kANkzAyAm GoravASite ca
01.0766	SucyI~	aBizave
01.0767	cUza~	pAne
01.0768	tUza~	tuzwO
01.0769	pUza~	vfdDO
01.0770	mUza~	steye
01.0771	lUza~	BUzAyAm
01.0772	rUza~	BUzAyAm
01.0773	SUza~	prasave
01.0774	zUza~	prasave
01.0775	yUza~	hiMsAyAm
01.0776	jUza~	hiMsAyAm
01.0777	BUza~	alaNkAre
01.0778	gluhU~^	grahaRe
01.0779	Uza~	rujAyAm
01.0780	Iza~	uYCe
01.0781	kaza~	hiMsAyAm
01.0782	Kaza~	hiMsAyAm
01.0783	Si\za~	hiMsAyAm
01.0784	jaza~	hiMsAyAm
01.0785	Jaza~	hiMsAyAm
01.0786	Saza~	hiMsAyAm
01.0787	vaza~	hiMsAyAm
01.0788	maza~	hiMsAyAm
01.0789	ruza~	hiMsAyAm
01.0790	riza~	hiMsAyAm
01.0791	Baza~	Bartsane
01.0792	uza~	dAhe
